weight,height,gender,location,Physical Contact,play_type,chest_symptom,injury,disease,jumping,endurance,agility,preferred_sport
81,170,male,indoor,dislike,team,no,no,no,yes,no,yes,badminton
90,175,male,outdoor,like,team,yes,no,no,no,yes,yes,football
49,161,female,indoor,dislike,pair,no,no,yes,no,no,no,snooker or pool
61,171,male,outdoor,like,team,yes,no,no,no,yes,yes,football
57,169,male,indoor,dislike,team,yes,yes,no,yes,no,yes,volleyball
53,160,female,outdoor,dislike,solo,no,yes,no,yes,yes,yes,badminton
52,175,female,indoor,dislike,solo,no,yes,no,no,yes,no,snooker or pool
67,163,female,indoor,dislike,pair,yes,no,yes,no,yes,no,snooker or pool
57,180,male,outdoor,like,team,no,no,no,yes,yes,yes,football
61,176,male,outdoor,like,team,no,no,no,yes,yes,yes,football
75,188,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
47,154,female,indoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
63,172,male,outdoor,like,team,yes,no,yes,no,yes,yes,football
57,173,male,indoor,like,team,no,no,no,no,no,yes,football
50,168,male,indoor,like,pair,no,no,no,no,no,no,snooker or pool
60,170,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
70,184,male,outdoor,like,team,no,yes,no,yes,yes,yes,basketball
64,178,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
58,174,male,indoor,like,team,yes,no,no,yes,yes,yes,basketball
98,178,male,indoor,dislike,pair,yes,no,yes,no,no,no,snooker or pool
54,165,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
76,168,female,indoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
75,170,male,indoor,dislike,pair,yes,no,no,no,no,yes,badminton
60,175,male,outdoor,like,team,no,yes,no,yes,yes,yes,football
64,169,male,outdoor,like,team,no,no,no,yes,yes,yes,football
43,152,female,indoor,dislike,pair,no,no,no,no,no,no,snooker or pool
49,155,female,indoor,dislike,pair,no,no,no,no,no,yes,badminton
63,171,male,outdoor,like,team,no,no,no,yes,yes,yes,football
84,178,male,indoor,like,team,yes,no,no,yes,yes,yes,basketball
77,184,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
60,172,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
56,169,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
70,162,female,indoor,dislike,solo,no,no,no,no,no,yes,snooker or pool
64,177,male,outdoor,like,team,yes,yes,no,yes,yes,yes,basketball
66,180,male,indoor,like,team,no,no,no,yes,no,yes,basketball
63,176,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
63,169,male,outdoor,like,team,no,no,no,yes,yes,yes,football
46,163,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
57,170,male,outdoor,like,team,no,no,no,yes,yes,yes,football
68,178,male,indoor,like,team,no,yes,no,yes,yes,yes,football
62,172,male,indoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
51,160,female,indoor,dislike,pair,no,no,no,no,yes,yes,badminton
43,157,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
47,166,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
47,157,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
67,180,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
68,173,male,indoor,dislike,solo,yes,no,yes,no,no,no,snooker or pool
46,164,female,indoor,dislike,pair,no,no,no,no,yes,yes,badminton
47,168,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
67,178,male,indoor,dislike,pair,yes,yes,no,no,yes,no,snooker or pool
60,170,male,indoor,dislike,team,no,no,no,yes,yes,yes,football
64,176,male,indoor,like,team,no,no,yes,yes,yes,yes,basketball
89,174,male,outdoor,dislike,team,no,no,no,yes,yes,no,basketball
63,172,male,indoor,like,team,no,no,no,yes,yes,yes,football
73,173,male,indoor,dislike,solo,no,yes,yes,no,yes,no,snooker or pool
44,156,female,indoor,dislike,team,no,no,no,yes,yes,yes,basketball
60,170,male,outdoor,like,team,no,no,no,yes,yes,yes,football
67,179,male,indoor,dislike,team,no,no,no,yes,yes,yes,basketball
46,167,female,indoor,like,team,yes,no,no,yes,yes,yes,basketball
64,174,male,indoor,dislike,solo,no,no,no,no,yes,no,snooker or pool
73,177,male,indoor,dislike,solo,no,no,yes,no,no,no,snooker or pool
52,168,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
62,174,male,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
73,181,male,outdoor,like,team,no,no,no,yes,yes,yes,football
63,179,male,outdoor,like,team,no,no,yes,yes,yes,yes,basketball
52,168,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
59,166,female,indoor,dislike,solo,yes,no,no,no,no,yes,badminton
76,175,male,outdoor,like,team,no,yes,no,yes,yes,yes,football
66,180,male,indoor,like,team,yes,no,no,yes,no,yes,football
71,180,male,outdoor,like,team,yes,no,no,yes,yes,no,basketball
60,178,male,indoor,dislike,team,yes,no,no,yes,yes,yes,volleyball
66,169,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
53,155,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
90,180,male,indoor,dislike,solo,yes,yes,yes,no,yes,no,snooker or pool
64,174,male,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
49,157,female,indoor,dislike,pair,no,no,yes,no,no,no,snooker or pool
52,168,female,indoor,dislike,solo,no,no,no,no,yes,no,snooker or pool
60,177,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
65,160,male,indoor,dislike,team,no,no,no,yes,no,yes,volleyball
56,176,male,indoor,dislike,team,no,no,yes,yes,no,yes,volleyball
53,171,female,indoor,like,team,no,no,yes,yes,yes,yes,volleyball
52,166,female,indoor,dislike,team,yes,no,yes,yes,yes,yes,volleyball
54,167,male,indoor,dislike,solo,no,no,no,no,yes,no,snooker or pool
54,154,female,indoor,dislike,solo,no,no,no,no,yes,no,snooker or pool
66,167,male,indoor,dislike,pair,no,no,no,no,no,no,snooker or pool
57,171,male,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
63,176,male,indoor,like,team,no,no,yes,yes,yes,yes,basketball
55,155,male,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
64,173,female,outdoor,dislike,solo,yes,yes,yes,no,no,no,snooker or pool
40,155,female,indoor,dislike,solo,no,no,no,no,no,yes,badminton
48,154,female,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
66,180,male,outdoor,like,team,no,no,no,yes,yes,yes,football
53,169,male,indoor,dislike,pair,no,no,no,no,no,no,snooker or pool
51,158,female,indoor,dislike,pair,no,no,no,no,yes,yes,badminton
65,164,female,indoor,dislike,pair,yes,no,yes,no,no,no,snooker or pool
53,164,female,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
56,176,male,outdoor,like,solo,no,no,no,yes,yes,yes,basketball
57,171,male,indoor,dislike,pair,no,no,no,yes,yes,yes,badminton
54,167,male,indoor,dislike,solo,no,no,no,no,no,yes,badminton
54,160,female,indoor,dislike,pair,no,no,no,no,no,yes,badminton
47,150,female,indoor,dislike,solo,yes,no,yes,no,no,yes,badminton
66,176,male,indoor,dislike,solo,no,no,no,yes,no,yes,badminton
58,169,male,indoor,like,solo,no,no,yes,no,no,yes,badminton
61,175,male,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
56,177,male,indoor,like,pair,no,no,no,yes,yes,yes,football
61,176,male,outdoor,like,team,yes,no,no,yes,yes,yes,football
64,174,male,indoor,dislike,solo,no,no,no,no,no,yes,badminton
54,157,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
57,165,male,indoor,dislike,solo,yes,no,yes,no,yes,yes,badminton
54,166,female,indoor,dislike,solo,no,no,no,no,yes,yes,badminton
67,182,male,indoor,dislike,solo,no,no,no,no,no,yes,badminton
55,168,male,indoor,like,team,no,no,no,no,no,no,basketball
69,180,male,outdoor,like,team,no,no,no,yes,yes,yes,football
66,178,male,indoor,dislike,solo,no,no,no,no,no,no,snooker or pool
48,164,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
65,171,male,outdoor,like,team,yes,no,no,no,yes,yes,football
67,177,male,outdoor,like,team,no,no,no,yes,no,yes,football
60,168,male,outdoor,like,team,yes,no,yes,yes,yes,yes,football
54,169,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
53,168,male,indoor,like,team,no,yes,no,no,yes,yes,football
66,172,male,outdoor,like,team,no,no,yes,yes,yes,yes,football
75,170,male,indoor,dislike,pair,yes,no,no,no,no,yes,badminton
54,172,male,indoor,dislike,team,no,no,no,yes,yes,yes,badminton
62,183,male,indoor,like,team,yes,no,no,yes,yes,yes,basketball
54,164,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
64,176,male,outdoor,like,team,no,no,no,yes,yes,yes,football
72,178,male,indoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
65,172,male,outdoor,like,team,no,no,no,yes,yes,yes,football
71,181,male,outdoor,like,team,yes,no,no,yes,yes,yes,basketball
67,175,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
59,174,female,indoor,dislike,team,no,no,no,yes,no,yes,volleyball
52,160,female,indoor,dislike,pair,no,no,no,no,yes,yes,badminton
84,173,male,indoor,dislike,team,yes,no,yes,no,yes,no,snooker or pool
80,170,female,indoor,dislike,pair,no,no,no,no,yes,no,snooker or pool
64,176,female,outdoor,dislike,team,no,yes,no,yes,yes,yes,volleyball
52,174,male,outdoor,like,team,no,no,no,yes,yes,yes,football
64,179,male,indoor,dislike,solo,no,no,no,no,yes,no,snooker or pool
72,183,male,indoor,dislike,solo,no,no,yes,no,yes,yes,snooker or pool
53,173,female,indoor,like,team,no,no,no,yes,no,yes,basketball
63,177,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
63,174,male,indoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
57,169,male,outdoor,like,team,no,no,no,yes,yes,yes,football
67,184,male,outdoor,like,team,no,no,no,yes,yes,yes,basketball
64,176,male,indoor,dislike,team,yes,no,no,yes,yes,yes,basketball
66,173,male,outdoor,like,team,no,no,no,yes,yes,yes,football
52,172,female,indoor,dislike,pair,no,no,no,yes,yes,yes,volleyball
46,164,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
64,172,male,indoor,like,team,no,no,yes,no,no,no,snooker or pool
52,168,male,indoor,like,team,no,no,no,yes,yes,yes,football
65,182,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
56,171,male,indoor,dislike,solo,no,no,no,yes,yes,yes,badminton
73,177,male,indoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
52,167,male,indoor,dislike,solo,yes,no,no,no,yes,no,snooker or pool
53,164,female,indoor,dislike,pair,no,no,no,no,no,no,badminton
63,182,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
65,160,female,indoor,dislike,pair,no,yes,no,no,no,no,badminton
63,172,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
62,178,male,indoor,dislike,solo,no,no,no,no,yes,yes,badminton
53,167,female,outdoor,like,team,no,no,no,yes,yes,yes,football
62,174,male,outdoor,like,team,no,no,no,yes,yes,yes,football
53,172,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
70,181,male,outdoor,like,team,no,yes,no,yes,no,yes,basketball
61,174,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
50,170,female,indoor,like,team,no,no,no,yes,yes,yes,football
50,169,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
64,172,male,outdoor,like,team,no,no,no,yes,yes,yes,football
61,179,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
46,163,female,indoor,dislike,solo,no,no,no,yes,yes,yes,badminton
45,150,female,outdoor,dislike,solo,yes,no,no,no,no,no,snooker or pool
68,179,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
84,173,male,indoor,dislike,solo,yes,yes,yes,yes,no,yes,basketball
95,180,male,indoor,like,solo,yes,no,no,no,yes,no,snooker or pool
85,165,female,indoor,dislike,pair,no,no,no,yes,no,yes,badminton
60,177,male,indoor,dislike,solo,no,no,no,no,yes,yes,snooker or pool
68,185,male,outdoor,like,team,no,no,no,yes,yes,yes,basketball
70,179,male,indoor,like,team,yes,no,no,yes,yes,yes,badminton
57,173,male,indoor,like,solo,yes,yes,no,no,yes,no,snooker or pool
68,176,male,outdoor,like,solo,no,no,no,yes,yes,yes,football
70,176,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
69,180,male,indoor,like,team,yes,no,no,yes,no,no,volleyball
